"Type";"Title";"Authors";"Topics";"Journal";"Year";"DOI";"ISSN";"Abstract";"Note";"ISBN"
"article";"The Global Research Collaboration of Network Meta-Analysis-a Social Network Analysis";"Li, L, Catala-Lopez, F, Alonso-Arroyo, A, Tian, J, Aleixandre-Benavent, R, Pieper, D, Ge, L, Yao, L, Wang, Q, Yang, K";" ";"PLOS ONE";"2016";"10.1371/journal.pone.0163239";"1932-6203";"Background and Objective Research collaborations in biomedical research have evolved over time. No studies have addressed research collaboration in network meta-analysis (NMA). In this study, we used social network analysis methods to characterize global collaboration patterns of published NMAs over the past decades. Methods PubMed, EMBASE, Web of Science and the Cochrane Library were searched (at 9th July, 2015) to include systematic reviews incorporating NMA. Two reviewers independently selected studies and cross-checked the standardized data. Data was analyzed using Uci-net 6.0 and SPSS 17.0. NetDraw software was used to draw social networks. Results 771 NMAs published in 336 journals from 3459 authors and 1258 institutions in 49 countries through the period 1997-2015 were included. More than three-quarters (n = 625; 81.06\%) of the NMAs were published in the last 5-years. The BMJ (4.93\%), Current Medical Research and Opinion (4.67\%) and PLOS One (4.02\%) were the journals that published the greatest number of NMAs. The UK and the USA (followed by Canada, China, the Netherlands, Italy and Germany) headed the absolute global productivity ranking in number of NMAs. The top 20 authors and institutions with the highest publication rates were identified. Overall, 43 clusters of authors (four major groups: one with 37 members, one with 12 members, one with 11 members and one with 10 members) and 21 clusters of institutions (two major groups: one with 62 members and one with 20 members) were identified. The most prolific authors were affiliated with academic institutions and private consulting firms. 181 consulting firms and pharmaceutical industries (14.39\% of institutions) were involved in 199 NMAs (25.81\% of total publications). Although there were increases in international and inter-institution collaborations, the research collaboration by authors, institutions and countries were still weak and most collaboration groups were small sizes. Conclusion Scientific production on NMA is increasing worldwide with research leadership of Western countries (most notably, the UK, the USA and Canada). More authors, institutions and nations are becoming involved in research collaborations, but frequently with limited international collaborations.";" ";" "
"article";"The construction of interdisciplinarity-the development of the knowledge base and programmatic focus of the journal ClimaticChange, 1977-2013";"Hellsten, I, Leydesdorff, L";"scientometrics";"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY";"2016";"10.1002/asi.23528";"2330-1635";"Climate change as a complex physical and social issue has gained increasing attention in the natural as well as the social sciences. Climate change research has become more interdisciplinary and even transdisciplinary as a typical Mode-2 science that is also dependent on an application context for its further development. We propose to approach interdisciplinarity as a co-construction of the knowledge base in the reference patterns and the programmatic focus in the editorials in the core journal of the climate-change sciencesClimaticChangeduring the period 1977-2013. First, we analyze the knowledge base of the journal and map journal-journal relations on the basis of the references in the articles. Second, we follow the development of the programmatic focus by analyzing the semantics in the editorials. We argue that interdisciplinarity is a result of the co-construction between different agendas: The selection of publications into the knowledge base of the journal, and the adjustment of the programmatic focus to the political context in the editorials. Our results show a widening of the knowledge base from referencing the multidisciplinary journals Nature and Science to citing journals from specialist fields. The programmatic focus follows policy-oriented issues and incorporates public metaphors.";" ";" "
"article";"Undisciplining Knowledge-Interdisciplinarity in the Twentieth Century";"Bryson, D";" ";"REVIEWS IN AMERICAN HISTORY";"2016";" ";"0048-7511";" ";" ";" "
"article";"Undisciplining Knowledge-Interdisciplinarity in the Twentieth Century";"Fuller, S";" ";"ISIS";"2016";"10.1086/688284";"0021-1753";" ";" ";" "
"article";"Allometric models to measure and analyze the evolution of international research collaboration";"Coccia, M, Bozeman, B";"International research collaboration Evolution of science Dynamics of science Measuring evolution of research fields Scientific fields Applied research Basic research Allometry";"SCIENTOMETRICS";"2016";"10.1007/s11192-016-2027-x";"0138-9130";"A fundamental problem in the field of the social studies of science is how to measure the patterns of international scientific collaboration to analyse the structure and evolution of scientific fields. This study here confronts the problem by developing an allometric model of morphological changes in order to measure and analyse the relative growth of international research collaboration in comparison with domestic collaboration only for fields of science. Statistical analysis, based on data of internationally co-authored papers from National Science Foundation (1997-2012 period), shows an acceleration (a disproportionate relative growth) of collaboration patterns in medical sciences, social sciences, geosciences, agricultural sciences, and psychology (predominantly applied fields). By contrast, some predominantly basic fields, including physics and mathematics, have lower levels of relative growth in international scientific collaboration. These characteristics of patterns of international research collaboration seem to be vital contributing factors for the evolution of the social dynamics and social construction of science. The main aim of this article is therefore to clarify the on-going evolution of scientific fields that might be driven by the plexus (interwoven combination of parts in a system) of research disciplines, which generates emerging research fields with high growth rates of international scientific collaboration.";" ";" "
"article";"Long term productivity and collaboration in information science";"Levitt, J, Thelwall, M";"Research collaboration Research productivity Citation analysis Library and information science Communication Medical informatics";"SCIENTOMETRICS";"2016";"10.1007/s11192-016-2061-8";"0138-9130";"Funding bodies have tended to encourage collaborative research because it is generally more highly cited than sole author research. But higher mean citation for collaborative articles does not imply collaborative researchers are in general more research productive. This article assesses the extent to which research productivity varies with the number of collaborative partners for long term researchers within three Web of Science subject areas: Information Science \& Library Science, Communication and Medical Informatics. When using the whole number counting system, researchers who worked in groups of 2 or 3 were generally the most productive, in terms of producing the most papers and citations. However, when using fractional counting, researchers who worked in groups of 1 or 2 were generally the most productive. The findings need to be interpreted cautiously, however, because authors that produce few academic articles within a field may publish in other fields or leave academia and contribute to society in other ways.";" ";" "
"article";"The Impact of a Researchers Structural Position on Scientific Performance-an Empirical Analysis";"Contandriopoulos, D, Duhoux, A, Larouche, C, Perroux, M";" ";"PLOS ONE";"2016";"10.1371/journal.pone.0161281";"1932-6203";"This article discusses the nature and structure of scientific collaboration as well as the association between academic collaboration networks and scientific productivity. Based on empirical data gathered from the CVs of 73 researchers affiliated with an academic research network in Canada, this study used social network analysis (SNA) to examine the association between researchers structural position in the network and their scientific performance. With reference to Granovetters and Burts theories on weak ties and structural holes, we argue it is the bridging position a researcher holds in a scientific network that matters most to improve scientific performance. The results of correlation scores between network centrality and two different indicators of scientific performance indicate there is a robust association between researchers structural position in collaboration networks and their scientific performance. We believe this finding, and the method we have developed, could have implications for the way research networks are managed and researchers are supported.";" ";" "
"article";"Mapping the evolution of scientific fields based on cross-field authors";"Sun, X, Ding, K, Lin, Y";"Scientific evolution Network analysis Interdisciplinary research";"JOURNAL OF INFORMETRICS";"2016";"10.1016/j.joi.2016.04.016";"1751-1577";"Mapping the evolution of scientific fields has drawn much attention in recent years. Researchers have proposed various methods to describe, explain and predict different aspects of science. Network-based analysis has been widely used for knowledge networks, in order to track the changes of research topics and the spread of scientific ideas. Here we propose a novel approach for mapping the science from the perspective of cross-field authors. Computer science is selected based on its interdisciplinary applications. We build a scientific network consisting of computer science conferences as nodes, and two conferences are linked if there exist authors that published papers on both conferences. The scientific fields are identified by community detection algorithm. The results suggest the proposed method based on author overlaps across fields are effective in mapping the science. (C) 2016 Elsevier Ltd. All rights reserved.";" ";" "
"article";"Understanding Scientific Collaboration in the Research Life Cycle-Bio- and Nanoscientists Motivations, Information-Sharing and Communication Practices, and Barriers to Collaboration";"Chung, EK, Kwon, N, Lee, J";" ";"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY";"2016";"10.1002/asi.23520";"2330-1635";"This study aims to identify the way researchers collaborate with other researchers in the course of the scientific research life cycle and provide information to the designers of e-Science and e-Research implementations. On the basis of in-depth interviews with and on-site observations of 24 scientists and a follow-up focus group interview in the field of bioscience/nanoscience and technology in Korea, we examined scientific collaboration using the framework of the scientific research life cycle. We attempt to explain the major motivations, characteristics of communication and information sharing, and barriers associated with scientists research collaboration practices throughout the research life cycle. The findings identify several notable phenomena including motivating factors, the timing of collaboration formation, partner selection, communication methods, information-sharing practices, and barriers at each phase of the life cycle. We find that specific motivations were related to specific phases. The formation of collaboration was observed throughout the entire process, not only in the beginning phase of the cycle. For communication and information-sharing practices, scientists continue to favor traditional means of communication for security reasons. Barriers to collaboration throughout the phases included different priorities, competitive tensions, and a hierarchical culture among collaborators, whereas credit sharing was a barrier in the research product phase.";" ";" "
"article";"Not All International Collaboration is Beneficial-the Mendeley Readership and Citation Impact of Biochemical Research Collaboration";"Sud, P, Thelwall, M";" ";"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY";"2016";"10.1002/asi.23515";"2330-1635";"Biochemistry is a highly funded research area that is typified by large research teams and is important for many areas of the life sciences. This article investigates the citation impact and Mendeley readership impact of biochemistry research from 2011 in the Web of Science according to the type of collaboration involved. Negative binomial regression models are used that incorporate, for the first time, the inclusion of specific countries within a team. The results show that, holding other factors constant, larger teams robustly associate with higher impact research, but including additional departments has no effect and adding extra institutions tends to reduce the impact of research. Although international collaboration is apparently not advantageous in general, collaboration with the United States, and perhaps also with some other countries, seems to increase impact. In contrast, collaborations with some other nations seems to decrease impact, although both findings could be due to factors such as differing national proportions of excellent researchers. As a methodological implication, simpler statistical models would find international collaboration to be generally beneficial and so it is important to take into account specific countries when examining collaboration.";" ";" "
"article";"Collaboration experiences across scientific disciplines and cohorts";"Tsai, CC, Corley, E, Bozeman, B";"Research collaboration Collaboration patterns Collaboration experiences Cohort differences Scientific disciplines";"SCIENTOMETRICS";"2016";"10.1007/s11192-016-1997-z";"0138-9130";"Even though there is a rich discussion in the literature about co-authorship practices, many of the existing studies do not offer a dynamic picture of co-authorship patterns and experiences across disciplines. To address the research gap, our study aims to explore several key dimensions of the social dynamics in co-authorship practices. In particular, we examine cohort differences in collaboration patterns across disciplines and cohort differences in negative collaboration experiences across disciplines. To conduct our analyses, we use data from a national survey of scholars and engineers in 108 top research universities. Our results indicate that the number of collaborators at ones own university is correlated with an increase in negative collaboration experiences, while an increase in collaborators at other universities is not correlated with an increase in negative collaboration experiences. In addition, we conclude that junior scholars are more likely to have negative collaboration experiences than their senior peers. This result is true even after controlling for gender and discipline.";" ";" "
"article";"Conceptions and expectations of research collaboration in the European social sciences-Research policies, institutional contexts and the autonomy of the scientific field";"Lebeau, Y, Papatsiba, V";"Research collaboration Open Research Area ORA European research policy scientific field higher education";"EUROPEAN EDUCATIONAL RESEARCH JOURNAL";"2016";"10.1177/1474904116642777";"1474-9041";"This paper investigates the interactions between policy drivers and academic practice in international research collaboration. It draws on the case of the Open Research Area ( ORA), a funding scheme in the social sciences across four national research agencies, seeking to boost collaboration by supporting ``integrated projects. The paper discusses the schemes governance and its place within the European policy space before turning to awarded researchers perceptions of its originality and impact on their projects emergence and development. Drawing on Bourdieus field theory, we analyse the schemes capacity to challenge researchers habitual collaborative practice as well as the hierarchical foundations of the social science field. We relate the discourses of researchers, located in France, Germany, The Netherlands and the United Kingdom, to such structural dimensions of the academic profession as, disciplinary cultures, institutional environments and national performance management of research careers. The paper argues that the ORA introduced novel mechanisms of power sharing and answerability in social sciences research capable of unsettling the autonomy of the scientific field. This analysis offers a new perspective on the often unquestioned superiority of the model of international collaboration induced by schemes such as the ORA.";" ";" "
"article";"Undisciplining Knowledge-Interdisciplinarity in the Twentieth Century";"Jacobs, J";" ";"CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS";"2016";"10.1177/0094306116653953u";"0094-3061";" ";" ";" "
"article";"New science for global sustainability? the institutionalisation of knowledge co-production in Future Earth";"Hel, S";"Knowledge co-production Transdisciplinarity Institutionalisation Science-society interface Future Earth";"ENVIRONMENTAL SCIENCE \& POLICY";"2016";"10.1016/j.envsci.2016.03.012";"1462-9011";"In the context of complex and unprecedented issues of global change, calls for new modes of knowledge production that are better equipped to address urgent challenges of global sustainability are increasingly frequent. This paper presents a case study of the new major research programme ``Future Earth, which aims to bring `research for global sustainability to the mainstream of global change research. A core principle of Future Earth is the co-production of knowledge with extra-scientific actors. In studying how the principle of co-production becomes institutionalised in the emerging structure of Future Earth, this paper points to the existence of three distinct rationales (logics) on the purpose and practice of co-production. Co-production is understood as a way to enhance scientific accountability to society (logic of accountability), to ensure the implementation of scientific knowledge in society (logic of impact), and to include the knowledge, perspectives and experiences of extra-scientific actors in scientific knowledge production (logic of humility). This heterogeneous conception of knowledge co-production provides helpful ambiguity allowing actors with different perspectives on science and its role in society to engage in Future Earth. However, in the process of designing an institutional structure for Future Earth tensions between the different logics of co-production become apparent. This research shows how logics of accountability and impact are prominent in shaping the development of Future Earth. The paper concludes by pointing to an essential tension between being inclusive and transformative when it comes to institutionalising new modes of knowledge production in large research programmes. (C) 2016 The Author. Published by Elsevier Ltd.";" ";" "
"article";"Interdisciplinary research has consistently lower funding success";"Bromham, L, Dinnage, R, Hua, X";" ";"NATURE";"2016";"10.1038/nature18315";"0028-0836";"Interdisciplinary research is widely considered a hothouse for innovation, and the only plausible approach to complex problems such as climate change(1,2). One barrier to interdisciplinary research is the widespread perception that interdisciplinary projects are less likely to be funded than those with a narrower focus(3,4). However, this commonly held belief has been difficult to evaluate objectively, partly because of lack of a comparable, quantitative measure of degree of interdisciplinarity that can be applied to funding application data(1). Here we compare the degree to which research proposals span disparate fields by using a biodiversity metric that captures the relative representation of different fields (balance) and their degree of difference (disparity). The Australian Research Councils Discovery Programme provides an ideal test case, because a single annual nationwide competitive grants scheme covers fundamental research in all disciplines, including arts, humanities and sciences. Using data on all 18,476 proposals submitted to the scheme over 5 consecutive years, including successful and unsuccessful applications, we show that the greater the degree of interdisciplinarity, the lower the probability of being funded. The negative impact of interdisciplinarity is significant even when number of collaborators, primary research field and type of institution are taken into account. This is the first broad-scale quantitative assessment of success rates of interdisciplinary research proposals. The interdisciplinary distance metric allows efficient evaluation of trends in research funding, and could be used to identify proposals that require assessment strategies appropriate to interdisciplinary research(5).";" ";" "
"article";"Research Collaboration Creates Opportunities for High-Impact Undergraduate Research";"Ellis, A, Oakes, L";" ";"CUR QUARTERLY";"2016";"10.18833/curq/36/4/20";"1072-5830";" ";" ";" "
"article";"Factors affecting number of citations-a comprehensive review of the literature";"Tahamtan, I, Afshar, A, Ahamdzadeh, K";"Citations Impact factor Determinant factors Predictive factors Citation characterization Citation analysis";"SCIENTOMETRICS";"2016";"10.1007/s11192-016-1889-2";"0138-9130";"The majority of academic papers are scarcely cited while a few others are highly cited. A large number of studies indicate that there are many factors influencing the number of citations. An actual review is missing that provides a comprehensive review of the factors predicting the frequency of citations. In this review, we performed a search in WoS, Scopus, PubMed and Medline to retrieve relevant papers. In overall, 2087 papers were retrieved among which 198 relevant papers were included in the study. Three general categories with twenty eight factors were identified to be related to the number of citations: Category one: ``paper related factors: quality of paper; novelty and interest of subject; characteristics of fields and study topics; methodology; document type; study design; characteristics of results and discussion; use of figures and appendix in papers; characteristics of the titles and abstracts; characteristics of references; length of paper; age of paper; early citation and speed of citation; accessibility and visibility of papers. Category two: ``journal related factors: journal impact factor; language of journal; scope of journal; form of publication. Category three: ``author(s) related factors: number of authors; authors reputation; authors academic rank; self-citations; international and national collaboration of authors; authors country; gender, age and race of authors; authors productivity; organizational features; and funding. Probably some factors such as the quality of the paper, journal impact factor, number of authors, visibility and international cooperation are stronger predictors for citations, than authors gender, age and race; characteristics of results and discussion and so on.";" ";" "
"article";"How does National Scientific Funding Support Emerging Interdisciplinary Research-a Comparison Study of Big Data Research in the US and China";"Huang, Y, Zhang, Y, Youtie, J, Porter, A, Wang, X";" ";"PLOS ONE";"2016";"10.1371/journal.pone.0154509";"1932-6203";"How do funding agencies ramp-up their capabilities to support research in a rapidly emerging area? This paper addresses this question through a comparison of research proposals awarded by the US National Science Foundation (NSF) and the National Natural Science Foundation of China (NSFC) in the field of Big Data. Big data is characterized by its size and difficulties in capturing, curating, managing and processing it in reasonable periods of time. Although Big Data has its legacy in longstanding information technology research, the field grew very rapidly over a short period. We find that the extent of interdisciplinarity is a key aspect in how these funding agencies address the rise of Big Data. Our results show that both agencies have been able to marshal funding to support Big Data research in multiple areas, but the NSF relies to a greater extent on multi-program funding from different fields. We discuss how these interdisciplinary approaches reflect the research hot-spots and innovation pathways in these two countries.";" ";" "
"article";"Bibliometric indicators of interdisciplinarity-the potential of the Leinster-Cobbold diversity indices to study disciplinary diversity";"Mugabushaka, AM, Kyriakou, A, Papazoglou, T";"Interdisciplinarity Disciplinary diversity Leinster-Cobbold Indices Hill numbers Indicators of biodiversity";"SCIENTOMETRICS";"2016";"10.1007/s11192-016-1865-x";"0138-9130";"In bibliometrics, interdisciplinarity is often measured in terms of the ``diversity of research areas in the references that an article cites. The standard indicators used are borrowed mostly from other research areas, notably from ecology (biodiversity measures) and economics (concentration measures). This paper argues that while the measures used in biodiversity research have evolved over time, the interdisciplinarity indicators used in bibliometrics can be mapped to a subset of biodiversity measures from the first and second generations. We discuss the third generation of biodiversity measures and especially the Leinster-Cobbold diversity indices (LCDiv) (Leinster and Cobbold in Ecology 93(3):477-489, 2012). We present a case study based on a previously published dataset of interdisciplinarity study in the field of bio-nano science (Rafols and Meyer in Scientometrics 82(2):263-287, 2010). We replicate the findings of this study to show that the various interdisciplinarity measures are in fact special cases of the LCDiv. The paper discusses some interesting properties of the LCDiv which make them more appealing in the study of disciplinary diversity than the standard interdisciplinary diversity indicators.";"15th International Conference of the International-Society-for-Scientometrics-and-Informetrics (ISSI) on Scientometrics and Informetrics, Bogazici Univ, Istanbul, TURKEY, JUN 29-JUL 04, 2015";" "
"article";"Diversity of references as an indicator of the interdisciplinarity of journals-Taking similarity between subject fields into account";"Zhang, L, Rousseau, R, Glanzel, W";"informetrics";"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY";"2016";"10.1002/asi.23487";"2330-1635";"The objective of this article is to further the study of journal interdisciplinarity, or, more generally, knowledge integration at the level of individual articles. Interdisciplinarity is operationalized by the diversity of subject fields assigned to cited items in the articles reference list. Subject fields and subfields were obtained from the Leuven-Budapest (ECOOM) subject-classification scheme, while disciplinary diversity was measured taking variety, balance, and disparity into account. As diversity measure we use a Hill-type true diversity in the sense of Jost and Leinster-Cobbold. The analysis is conducted in 3 steps. In the first part, the properties of this measure are discussed, and, on the basis of these properties it is shown that the measure has the potential to serve as an indicator of interdisciplinarity. In the second part the applicability of this indicator is shown using selected journals from several research fields ranging from mathematics to social sciences. Finally, the often-heard argument, namely, that interdisciplinary research exhibits larger visibility and impact, is studied on the basis of these selected journals. Yet, as only 7 journals, representing a total of 15,757 articles, are studied, albeit chosen to cover a large range of interdisciplinarity, further research is still needed.";" ";" "
"article";"The evolution of interdisciplinarity over 20 years of global change research by the IAI";"Pittman, J, Tiessen, H, Montana, E";" ";"CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY";"2016";"10.1016/j.cosust.2015.12.004";"1877-3435";"Global change cuts across human and natural systems. Addressing it requires interdisciplinary research across the human and natural sciences. We show that the promotion of interdisciplinarity requires more than changing the requirements of funding calls. Successes have relied on leveraging the motivations of natural and social scientists by, firstly, providing space for experiential learning by researchers, secondly, facilitating networking and teamwork across disciplines, thirdly, exposing researchers to new concepts or tools, fourthly, maintaining persistent mentorship and support for cultivating cross-disciplinary thinking, fifthly, connecting research to tangible problems, and sixthly, monitoring program calls, project selection and implementation. Here we present the experience of 20 years of motivating scientists to engage in interdisciplinary research, providing an environment for learning across disciplines, and structuring research programs to advance knowledge for decision making on global change.";" ";" "
"article";"Research collaboration experiences, good and bad-Dispatches from the front lines";"Bozeman, B, Gaughan, M, Youtie, J, Slade, C, Rimes, H";"research collaboration collaboration team dynamics collaboration effectiveness";"SCIENCE AND PUBLIC POLICY";"2016";"10.1093/scipol/scv035";"0302-3427";"The scant literature on individual scientists collaboration dynamics is used to develop a provisional model of research collaboration effectiveness. It incorporates external, collaborator, and team management factors, forming the basis for our theoretically informed qualitative analysis. We use this provisional model to guide semi-structured interview themes, deriving data from 60 US academic researchers, selected from a range of scientific and engineering disciplines as well as one social sciences discipline (economics). We present our findings in the form of respondent quotations related to the provisional model. We then conduct a further content analysis on the organizing constructs of respondent-assessed good and bad collaboration responses. The results of this second thematic coding of the interview data form the basis for the refinement of our model to include additional indicators, and to discuss some preliminary expectations about the associative relationships among the external, collaborator, and team management factors that contribute to scientist collaboration.";" ";" "
"article";"Collaboration, interdisciplinarity, and the epistemology of contemporary science";"Andersen, H";"Interdisciplinarity Collaboration Disciplines Epistemic Dependence Accountability Quality control";"STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE";"2016";"10.1016/j.shpsa.2015.10.006";"0039-3681";"Over the last decades, science has grown increasingly collaborative and interdisciplinary and has come to depart in important ways from the classical analyses of the development of science that were developed by historically inclined philosophers of science half a century ago. In this paper, I shall provide a new account of the structure and development of contemporary science based on analyses of, first, cognitive resources and their relations to domains, and second of the distribution of cognitive resources among collaborators and the epistemic dependence that this distribution implies. On this background I shall describe different ideal types of research activities and analyze how they differ. Finally, analyzing values that drive science towards different kinds of research activities, I shall sketch the main mechanisms underlying the perceived tension between disciplines and interdisciplinarity and argue for a redefinition of accountability and quality control for interdisciplinary and collaborative science. (C) 2015 Elsevier Ltd. All rights reserved.";" ";" "
"article";"Out of the fog-Catalyzing integrative capacity in interdisciplinary research";"Piso, Z, ORourke, M, Weathers, K";"Interdisciplinarity Science of team science Coastal fog Integration Integrative capacity";"STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE";"2016";"10.1016/j.shpsa.2016.01.002";"0039-3681";"Social studies of interdisciplinary science investigate how scientific collaborations approach complex challenges that require multiple disciplinary perspectives. In order for collaborators to meet these complex challenges, interdisciplinary collaborations must develop and maintain integrative capacity, understood as the ability to anticipate and weigh tradeoffs in the employment of different disciplinary approaches. Here we provide an account of how one group of interdisciplinary fog scientists intentionally catalyzed integrative capacity. Through conversation, collaborators negotiated their commitments regarding the ontology of fog systems and the methodologies appropriate to studying fog systems, thereby enhancing capabilities which we take to constitute integrative capacity. On the ontological front, collaborators negotiated their commitments by setting boundaries to and within the system, layering different subsystems, focusing on key intersections of these subsystems, and agreeing on goals that would direct further investigation. On the methodological front, collaborators sequenced various methods, anchored methods at different scales, validated one method with another, standardized the outputs of related methods, and coordinated methods to fit a common model. By observing the process and form of collaborator conversations, this case study demonstrates that social studies of science can bring into critical focus how interdisciplinary collaborators work toward an integrated conceptualization of study systems. (C) 2016 Elsevier Ltd. All rights reserved.";" ";" "
"article";"Research Collaboration in Saudi Arabia 1980-2014-Bibliometric Patterns and National Policy to Foster Research Quantity and Quality";"Shehatta, I, Mahmood, K";"scientific research research productivity research collaboration bibliometric analysis research policy Saudi Arabia InCites TM Web of Science";"LIBRI";"2016";"10.1515/libri-2015-0095";"0024-2667";"Using bibliometric indicators from InCites (TM) database of ISIs Web of Science, the present study examines the publication productivity and collaboration of Saudi Arabia (KSA) researchers over the period 1980-2014. The data cover 24 (with at least 500 publications) out of 65 KSA organizations that have bibliometric indicators at InCites (TM). The 24 most active KSA organizations accounted for 85.48\% (74,767 out of 88,506) of all KSA publications. The analysis shows that 60,639 documents were multi-authored publications indicating the collaboration ratio of 81.1 \%. Various collaboration patterns (single, domestic and international) were investigated. The international collaboration has increased from 56 publications in 1980 to 9,859 publications in 2014. This increase corresponds to 10 times increase in percent of KSA share in the Worldwide international collaboration. KSA is ranked the first and second among the 50 most productive countries in \% international growth in collaboration and \% overall international collaboration over the 35-year period. Around half of the collaborative articles (49.2 \%) were published by two or three authors. The collaboration of KSA researchers in the six disciplines according to the Global Institutional Profiles Project -GIPP schema is examined. The top 20 collaborating countries belonged to five continents and the United States and Egypt were the most collaborative countries with KSA. The highest citation impact came from collaboration with developed countries and all are higher than the world overall citation impact (12.01). Egyptian and US organizations dominate in the top 20 international collaborative organizations. Accurate prediction of the total publications and citations are proposed using the total number of international collaborations of KSA. The findings revealed that collaboration had a positive effect on scientific productivity and quality, since the collaborative publications received more citations and were published in journals with higher impact factor, thus they characterized high quality. Accordingly, developing national research policies are needed to foster and support collaborations among researchers, organizations and countries.";" ";" "
"article";"On the uncertainty of interdisciplinarity measurements due to incomplete bibliographic data";"Calatrava, M, Auzinger, T, Werthner, H";"Interdisciplinarity Rao-Stirling index Bibliometrics Missing data Uncertainty Optimization Spanning tree";"SCIENTOMETRICS";"2016";"10.1007/s11192-016-1842-4";"0138-9130";"The accuracy of interdisciplinarity measurements is directly related to the quality of the underlying bibliographic data. Existing indicators of interdisciplinarity are not capable of reflecting the inaccuracies introduced by incorrect and incomplete records because correct and complete bibliographic data can rarely be obtained. This is the case for the Rao-Stirling index, which cannot handle references that are not categorized into disciplinary fields. We introduce a method that addresses this problem. It extends the Rao-Stirling index to acknowledge missing data by calculating its interval of uncertainty using computational optimization. The evaluation of our method indicates that the uncertainty interval is not only useful for estimating the inaccuracy of interdisciplinarity measurements, but it also delivers slightly more accurate aggregated interdisciplinarity measurements than the Rao-Stirling index.";" ";" "
"article";"Problems and Prospects of Interdisciplinarity-the Case of Philosophy of Science";"Kaiser, M, Kronfeldner, M, Meunier, R";"benefits of interdisciplinarity conflicts of interdisciplinarity early career research German universities forms of interdisciplinarity interdisciplinary PhD philosophy of science risks of interdisciplinarity";"INTERDISCIPLINARY SCIENCE REVIEWS";"2016";"10.1080/03080188.2016.1171583";"0308-0188";"In this paper, we discuss some problems and prospects of interdisciplinary encounters by focusing on philosophy of science as a case study. After introducing the case, we give an overview of the various ways in which philosophy of science can be interdisciplinary in the section ``Different forms of interdisciplinarity in philosophy of science. In the section ``General impediments for interdisciplinarity, we name some general problems regarding possible points of interaction between philosophy of science and the sciences studied. In the section ``The institutional and the individual perspective we compare the advantages and risks of interdisciplinarity for individual researchers and institutions. In the section ``Interdisciplinary PhD programs, we discuss interdisciplinary PhD programmes, in particular concerning two main problems: increased workload and the quality of supervision. In the final section ``Interdisciplinarity beyond the PhD, we look at interdisciplinary careers beyond the PhD.";" ";" "
"article";"Building the team for team science";"Read, E, ORourke, M, Hong, G, Hanson, P, Winslow, L, Crowley, S, Brewer, C, Weathers, K";"ecological observatory network graduate student training interdisciplinarity network science team science";"ECOSPHERE";"2016";"10.1002/ecs2.1291";"2150-8925";"The ability to effectively exchange information and develop trusting, collaborative relationships across disciplinary boundaries is essential for 21st century scientists charged with solving complex and large-scale societal and environmental challenges, yet these communication skills are rarely taught. Here, we describe an adaptable training program designed to increase the capacity of scientists to engage in information exchange and relationship development in team science settings. A pilot of the program, developed by a leader in ecological network science, the Global Lake Ecological Observatory Network (GLEON), indicates that the training program resulted in improvement in early career scientists confidence in team-based network science collaborations within and outside of the program. Fellows in the program navigated human-network challenges, expanded communication skills, and improved their ability to build professional relationships, all in the context of producing collaborative scientific outcomes. Here, we describe the rationale for key communication training elements and provide evidence that such training is effective in building essential team science skills.";" ";" "
"article";"How to boost scientific production? a statistical analysis of research funding and other influencing factors";"Ebadi, A, Schiffauerova, A";"Statistical analysis Funding Research output NSERC Canada";"SCIENTOMETRICS";"2016";"10.1007/s11192-015-1825-x";"0138-9130";"This paper analyzes the impact of several influencing factors on scientific production of researchers. Time related statistical models for the period of 1996 to 2010 are estimated to assess the impact of research funding and other determinant factors on the quantity and quality of the scientific output of individual funded researchers in Canadian natural sciences and engineering. Results confirm a positive impact of funding on the quantity and quality of the publications. In addition, the existence of the Matthew effect is partially confirmed such that the rich get richer. Although a positive relation between the career age and the rate of publications is observed, it is found that the career age negatively affects the quality of works. Moreover, the results suggest that young researchers who work in large teams are more likely to produce high quality publications. We also found that even though academic researchers produce higher quantity of papers it is the researchers with industrial affiliation whose work is of higher quality. Finally, we observed that strategic, targeted and high priority funding programs lead to higher quantity and quality of publications.";" ";" "
