 "publication_type" , "journal_article" , "title" , "publication_year" , "author_name" , "journal_name" , "journal_issue_number" , "journal_volume_number" , "startEndPages" , "publisher_name" , "doi" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33179" , "Compensation claim lodgement and health outcome developmental trajectories following whiplash injury: A prospective study" , "2010" , "Kenardy - Justin" , "Pain" , "1" , "150" , "22--28" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2010.02.013" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33206" , "The Cascade of Medical Services and Associated Longitudinal Costs Due to Nonadherent Magnetic Resonance Imaging for Low Back Pain" , "2014" , "Webster - Barbara S." , "Spine" , "17" , "39" , "1433--1440" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0000000000000408" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33206" , "The Cascade of Medical Services and Associated Longitudinal Costs Due to Nonadherent Magnetic Resonance Imaging for Low Back Pain" , "2014" , "Choi - YoonSun" , "Spine" , "17" , "39" , "1433--1440" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0000000000000408" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33206" , "The Cascade of Medical Services and Associated Longitudinal Costs Due to Nonadherent Magnetic Resonance Imaging for Low Back Pain" , "2014" , "Bauer - Ann Z." , "Spine" , "17" , "39" , "1433--1440" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0000000000000408" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33206" , "The Cascade of Medical Services and Associated Longitudinal Costs Due to Nonadherent Magnetic Resonance Imaging for Low Back Pain" , "2014" , "Cifuentes - Manuel" , "Spine" , "17" , "39" , "1433--1440" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0000000000000408" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33206" , "The Cascade of Medical Services and Associated Longitudinal Costs Due to Nonadherent Magnetic Resonance Imaging for Low Back Pain" , "2014" , "Pransky - Glenn" , "Spine" , "17" , "39" , "1433--1440" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/brs.0000000000000408" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33220" , "Survey of General Practitioner, Family Physician, and Chiropractor’s Beliefs Regarding the Management of Acute Whiplash Patients" , "2004" , "Ferrari - Robert" , "Spine" , "19" , "29" , "2173--2177" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000141184.86744.37" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33220" , "Survey of General Practitioner, Family Physician, and Chiropractor’s Beliefs Regarding the Management of Acute Whiplash Patients" , "2004" , "Russell - Anthony Science" , "Spine" , "19" , "29" , "2173--2177" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.brs.0000141184.86744.37" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33252" , "A Randomized Controlled Trial of Cognitive-behavioral Therapy for the Treatment of PTSD in the Context of Chronic Whiplash" , "2012" , "Dunne - Rachael Louise" , "The Clinical Journal of Pain" , "9" , "28" , "755--765" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/ajp.0b013e318243e16b" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33252" , "A Randomized Controlled Trial of Cognitive-behavioral Therapy for the Treatment of PTSD in the Context of Chronic Whiplash" , "2012" , "Kenardy - Justin" , "The Clinical Journal of Pain" , "9" , "28" , "755--765" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/ajp.0b013e318243e16b" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33252" , "A Randomized Controlled Trial of Cognitive-behavioral Therapy for the Treatment of PTSD in the Context of Chronic Whiplash" , "2012" , "Sterling - Michele" , "The Clinical Journal of Pain" , "9" , "28" , "755--765" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/ajp.0b013e318243e16b" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33256" , "Incidence and predictors of neck and widespread pain after motor vehicle collision among US litigants and nonlitigants" , "2014" , "Ulirsch - Jacob C." , "Pain" , "2" , "155" , "309--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2013.10.016" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/33256" , "Incidence and predictors of neck and widespread pain after motor vehicle collision among US litigants and nonlitigants" , "2014" , "Slade - Gary D." , "Pain" , "2" , "155" , "309--321" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1016/j.pain.2013.10.016" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21002" , "The effects of outcome expectations and satisfaction on weight loss and maintenance: Correlational and experimental analyses-a randomized trial." , "2005" , "Jeffery - Robert W." , "Health Psychology" , "6" , "24" , "608--616" , "American Psychological Association (APA)" , "10.1037/0278-6133.24.6.608" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21002" , "The effects of outcome expectations and satisfaction on weight loss and maintenance: Correlational and experimental analyses-a randomized trial." , "2005" , "Rothman - Alexander J." , "Health Psychology" , "6" , "24" , "608--616" , "American Psychological Association (APA)" , "10.1037/0278-6133.24.6.608" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21002" , "The effects of outcome expectations and satisfaction on weight loss and maintenance: Correlational and experimental analyses-a randomized trial." , "2005" , "King - Christie M." , "Health Psychology" , "6" , "24" , "608--616" , "American Psychological Association (APA)" , "10.1037/0278-6133.24.6.608" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21002" , "The effects of outcome expectations and satisfaction on weight loss and maintenance: Correlational and experimental analyses-a randomized trial." , "2005" , "Levy - Rona L." , "Health Psychology" , "6" , "24" , "608--616" , "American Psychological Association (APA)" , "10.1037/0278-6133.24.6.608" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21709" , "Treatment of Pathological Gambling: A Critical Review of the Literature." , "2003" , "Toneatto - Tony" , "Psychology of Addictive Behaviors" , "4" , "17" , "284--292" , "American Psychological Association (APA)" , "10.1037/0893-164x.17.4.284" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21709" , "Treatment of Pathological Gambling: A Critical Review of the Literature." , "2003" , "Ladoceur - Robert" , "Psychology of Addictive Behaviors" , "4" , "17" , "284--292" , "American Psychological Association (APA)" , "10.1037/0893-164x.17.4.284" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21771" , "Motivational enhancement and self-help treatments for problem gambling." , "2001" , "Hodgins - David C." , "Journal of Consulting and Clinical Psychology" , "1" , "69" , "50--57" , "American Psychological Association (APA)" , "10.1037//0022-006x.69.1.50" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21773" , "Randomized trial of brief motivational treatments for pathological gamblers: More is not necessarily better." , "2009" , "Hodgins - David C." , "Journal of Consulting and Clinical Psychology" , "5" , "77" , "950--960" , "American Psychological Association (APA)" , "10.1037/a0016318" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21766" , "Factor structure and interpretation of the K10." , "2006" , "Brooks - Robert T." , "Psychological Assessment" , "1" , "18" , "62--70" , "American Psychological Association (APA)" , "10.1037/1040-3590.18.1.62" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21766" , "Factor structure and interpretation of the K10." , "2006" , "Beard - John" , "Psychological Assessment" , "1" , "18" , "62--70" , "American Psychological Association (APA)" , "10.1037/1040-3590.18.1.62" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21766" , "Factor structure and interpretation of the K10." , "2006" , "Steel - Zachary" , "Psychological Assessment" , "1" , "18" , "62--70" , "American Psychological Association (APA)" , "10.1037/1040-3590.18.1.62" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21771" , "Motivational enhancement and self-help treatments for problem gambling." , "2001" , "Currie - Shawn R." , "Journal of Consulting and Clinical Psychology" , "1" , "69" , "50--57" , "American Psychological Association (APA)" , "10.1037//0022-006x.69.1.50" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21771" , "Motivational enhancement and self-help treatments for problem gambling." , "2001" , "el-Guebaly - Nady" , "Journal of Consulting and Clinical Psychology" , "1" , "69" , "50--57" , "American Psychological Association (APA)" , "10.1037//0022-006x.69.1.50" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21773" , "Randomized trial of brief motivational treatments for pathological gamblers: More is not necessarily better." , "2009" , "Currie - Shawn R." , "Journal of Consulting and Clinical Psychology" , "5" , "77" , "950--960" , "American Psychological Association (APA)" , "10.1037/a0016318" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21773" , "Randomized trial of brief motivational treatments for pathological gamblers: More is not necessarily better." , "2009" , "Currie - Gillian" , "Journal of Consulting and Clinical Psychology" , "5" , "77" , "950--960" , "American Psychological Association (APA)" , "10.1037/a0016318" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/21773" , "Randomized trial of brief motivational treatments for pathological gamblers: More is not necessarily better." , "2009" , "Fick - Gordon H." , "Journal of Consulting and Clinical Psychology" , "5" , "77" , "950--960" , "American Psychological Association (APA)" , "10.1037/a0016318" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/22099" , "Personal and contextual determinants of coping strategies." , "1987" , "Holahan - Charles J." , "Journal of Personality and Social Psychology" , "5" , "52" , "946--955" , "American Psychological Association (APA)" , "10.1037//0022-3514.52.5.946" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/22099" , "Personal and contextual determinants of coping strategies." , "1987" , "Moos - Rudolf H." , "Journal of Personality and Social Psychology" , "5" , "52" , "946--955" , "American Psychological Association (APA)" , "10.1037//0022-3514.52.5.946" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23390" , "Evaluating the use of exploratory factor analysis in psychological research." , "1999" , "Fabrigar - Leandre R." , "Psychological Methods" , "3" , "4" , "272--299" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.3.272" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23390" , "Evaluating the use of exploratory factor analysis in psychological research." , "1999" , "Wegener - Duane T." , "Psychological Methods" , "3" , "4" , "272--299" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.3.272" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23390" , "Evaluating the use of exploratory factor analysis in psychological research." , "1999" , "MacCallum - Robert C." , "Psychological Methods" , "3" , "4" , "272--299" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.3.272" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23390" , "Evaluating the use of exploratory factor analysis in psychological research." , "1999" , "Strahan - Erin J." , "Psychological Methods" , "3" , "4" , "272--299" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.3.272" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "MacCallum - Robert C." , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "MacCallum - Robert C." , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84." ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "Widaman - Keith F." , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "Widaman - Keith F." , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84." ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "Zhang - Shaobo" , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "Zhang - Shaobo" , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84." ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "Hong - Sehee" , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/23393" , "Sample size in factor analysis." , "1999" , "Hong - Sehee" , "Psychological Methods" , "1" , "4" , "84--99" , "American Psychological Association (APA)" , "10.1037/1082-989x.4.1.84." ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909078" , "The Use of Polysymptomatic Distress Categories in the Evaluation of Fibromyalgia (FM) and FM Severity" , "2015" , "Wolfe - F." , "The Journal of Rheumatology" , "8" , "42" , "1494--1501" , "The Journal of Rheumatology" , "10.3899/jrheum.141519" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909078" , "The Use of Polysymptomatic Distress Categories in the Evaluation of Fibromyalgia (FM) and FM Severity" , "2015" , "Walitt - B. T." , "The Journal of Rheumatology" , "8" , "42" , "1494--1501" , "The Journal of Rheumatology" , "10.3899/jrheum.141519" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909078" , "The Use of Polysymptomatic Distress Categories in the Evaluation of Fibromyalgia (FM) and FM Severity" , "2015" , "Rasker - J. J." , "The Journal of Rheumatology" , "8" , "42" , "1494--1501" , "The Journal of Rheumatology" , "10.3899/jrheum.141519" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909078" , "The Use of Polysymptomatic Distress Categories in the Evaluation of Fibromyalgia (FM) and FM Severity" , "2015" , "Katz - R. S." , "The Journal of Rheumatology" , "8" , "42" , "1494--1501" , "The Journal of Rheumatology" , "10.3899/jrheum.141519" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909078" , "The Use of Polysymptomatic Distress Categories in the Evaluation of Fibromyalgia (FM) and FM Severity" , "2015" , "Hauser - W." , "The Journal of Rheumatology" , "8" , "42" , "1494--1501" , "The Journal of Rheumatology" , "10.3899/jrheum.141519" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909086" , "The Longitudinal Outcome of Fibromyalgia: A Study of 1555 Patients" , "2011" , "WALITT - B." , "The Journal of Rheumatology" , "10" , "38" , "2238--2246" , "The Journal of Rheumatology" , "10.3899/jrheum.110026" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909086" , "The Longitudinal Outcome of Fibromyalgia: A Study of 1555 Patients" , "2011" , "FITZCHARLES - M.-A." , "The Journal of Rheumatology" , "10" , "38" , "2238--2246" , "The Journal of Rheumatology" , "10.3899/jrheum.110026" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909086" , "The Longitudinal Outcome of Fibromyalgia: A Study of 1555 Patients" , "2011" , "HASSETT - A. L." , "The Journal of Rheumatology" , "10" , "38" , "2238--2246" , "The Journal of Rheumatology" , "10.3899/jrheum.110026" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909086" , "The Longitudinal Outcome of Fibromyalgia: A Study of 1555 Patients" , "2011" , "KATZ - R. S." , "The Journal of Rheumatology" , "10" , "38" , "2238--2246" , "The Journal of Rheumatology" , "10.3899/jrheum.110026" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909086" , "The Longitudinal Outcome of Fibromyalgia: A Study of 1555 Patients" , "2011" , "HAUSER - W." , "The Journal of Rheumatology" , "10" , "38" , "2238--2246" , "The Journal of Rheumatology" , "10.3899/jrheum.110026" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/909086" , "The Longitudinal Outcome of Fibromyalgia: A Study of 1555 Patients" , "2011" , "WOLFE - F." , "The Journal of Rheumatology" , "10" , "38" , "2238--2246" , "The Journal of Rheumatology" , "10.3899/jrheum.110026" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Bharti - B." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Lee - S. J." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Lindsay - S. P." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Wingard - D. L." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Jones - K. L." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Lemus - H." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/930544" , "Disease Severity and Pregnancy Outcomes in Women with Rheumatoid Arthritis: Results from the Organization of Teratology Information Specialists Autoimmune Diseases in Pregnancy Project" , "2015" , "Chambers - C. D." , "The Journal of Rheumatology" , "8" , "42" , "1376--1382" , "The Journal of Rheumatology" , "10.3899/jrheum.140583" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/950066" , "IgG4 Syndrome: Old Disease, New Perspective" , "2010" , "FRAGOULIS - G. E." , "The Journal of Rheumatology" , "7" , "37" , "1369--1370" , "The Journal of Rheumatology" , "10.3899/jrheum.100383" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/950066" , "IgG4 Syndrome: Old Disease, New Perspective" , "2010" , "MOUTSOPOULOS - H. M." , "The Journal of Rheumatology" , "7" , "37" , "1369--1370" , "The Journal of Rheumatology" , "10.3899/jrheum.100383" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "AGARWAL - S. K." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "GOURH - P." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "SHETE - S." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "PAZ - G." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "DIVECHA - D." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "REVEILLE - J. D." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "ASSASSI - S." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "TAN - F. K." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "MAYES - M. D." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/953683" , "Association of Interleukin 23 Receptor Polymorphisms with Anti-Topoisomerase-I Positivity and Pulmonary Hypertension in Systemic Sclerosis" , "2009" , "ARNETT - F. C." , "The Journal of Rheumatology" , "12" , "36" , "2715--2723" , "The Journal of Rheumatology" , "10.3899/jrheum.090421" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "McADAMS - M. A." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "MAYNARD - J. W." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "BAER - A. N." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "KOTTGEN - A." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "CLIPP - S." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "CORESH - J." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1008881" , "Reliability and Sensitivity of the Self-report of Physician-diagnosed Gout in the Campaign Against Cancer and Heart Disease and the Atherosclerosis Risk in the Community Cohorts" , "2010" , "GELBER - A. C." , "The Journal of Rheumatology" , "1" , "38" , "135--141" , "The Journal of Rheumatology" , "10.3899/jrheum.100418" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1018867" , "Undertreatment of Disease Activity in Systemic Lupus Erythematosus Patients with Endstage Renal Failure Is Associated with Increased All-cause Mortality" , "2011" , "BRODER - A." , "The Journal of Rheumatology" , "11" , "38" , "2382--2389" , "The Journal of Rheumatology" , "10.3899/jrheum.110571" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1018867" , "Undertreatment of Disease Activity in Systemic Lupus Erythematosus Patients with Endstage Renal Failure Is Associated with Increased All-cause Mortality" , "2011" , "KHATTRI - S." , "The Journal of Rheumatology" , "11" , "38" , "2382--2389" , "The Journal of Rheumatology" , "10.3899/jrheum.110571" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1018867" , "Undertreatment of Disease Activity in Systemic Lupus Erythematosus Patients with Endstage Renal Failure Is Associated with Increased All-cause Mortality" , "2011" , "PATEL - R." , "The Journal of Rheumatology" , "11" , "38" , "2382--2389" , "The Journal of Rheumatology" , "10.3899/jrheum.110571" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1018867" , "Undertreatment of Disease Activity in Systemic Lupus Erythematosus Patients with Endstage Renal Failure Is Associated with Increased All-cause Mortality" , "2011" , "PUTTERMAN - C." , "The Journal of Rheumatology" , "11" , "38" , "2382--2389" , "The Journal of Rheumatology" , "10.3899/jrheum.110571" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1030588" , "Frailty Index to Measure Health Status in People with Systemic Sclerosis" , "2014" , "Rockwood - M. R." , "The Journal of Rheumatology" , "4" , "41" , "698--705" , "The Journal of Rheumatology" , "10.3899/jrheum.130182" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1030588" , "Frailty Index to Measure Health Status in People with Systemic Sclerosis" , "2014" , "MacDonald - E." , "The Journal of Rheumatology" , "4" , "41" , "698--705" , "The Journal of Rheumatology" , "10.3899/jrheum.130182" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1030588" , "Frailty Index to Measure Health Status in People with Systemic Sclerosis" , "2014" , "Sutton - E." , "The Journal of Rheumatology" , "4" , "41" , "698--705" , "The Journal of Rheumatology" , "10.3899/jrheum.130182" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1030588" , "Frailty Index to Measure Health Status in People with Systemic Sclerosis" , "2014" , "Rockwood - K." , "The Journal of Rheumatology" , "4" , "41" , "698--705" , "The Journal of Rheumatology" , "10.3899/jrheum.130182" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1030588" , "Frailty Index to Measure Health Status in People with Systemic Sclerosis" , "2014" , "Baron - M." , "The Journal of Rheumatology" , "4" , "41" , "698--705" , "The Journal of Rheumatology" , "10.3899/jrheum.130182" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1030588" , "Frailty Index to Measure Health Status in People with Systemic Sclerosis" , "2014" , "Pope - J." , "The Journal of Rheumatology" , "4" , "41" , "698--705" , "The Journal of Rheumatology" , "10.3899/jrheum.130182" ,
